type	latitude	longitude	altitude (m)	name	desc	kml_folder
T	39.011699986	126.250804621	196.8
T	39.011701645	126.250750517	196.2			
T	39.011702391	126.250701629	195.7			
T	39.011702675	126.250646062	195.1			
T	39.011702953	126.250590477	194.5			
T	39.011703232	126.250534877	193.9			
T	39.011703511	126.250479264	193.5			
T	39.011703789	126.250423637	193.1			
T	39.011704038	126.250374178	192.8			
T	39.011704317	126.250318525	192.3			
T	39.011704596	126.250262856	192.2			
T	39.011704875	126.250207174	192.9			
T	39.011705154	126.250151479	193.5			
T	39.011705400	126.250101961	194.1			
T	39.011703970	126.250045060	194.8			
T	39.011702152	126.249987975	195.7			
T	39.011701567	126.249931768	196.7			
T	39.011700982	126.249875591	197.6			
T	39.011700398	126.249819443	198.6			
T	39.011699879	126.249769560	199.5			
T	39.011699295	126.249713467	200.3			
T	39.011698709	126.249657405	199.8			
T	39.011698126	126.249601372	199.3			
T	39.011697543	126.249545369	198.8			
T	39.011696960	126.249489395	198.3			
T	39.011696442	126.249439665	197.9			
T	39.011695795	126.249383721	197.6			
T	39.011694637	126.249327622	197.3			
T	39.011692729	126.249271315	197.0			
T	39.011690709	126.249215074	196.8			
T	39.011688917	126.249165168	196.5			
T	39.011686905	126.249109119	197.0			
T	39.011685120	126.249059383	197.4			
T	39.011682892	126.248997325	197.9			
T	39.011680891	126.248941580	198.3			
T	39.011678892	126.248885937	198.8			
T	39.011677120	126.248836559	200.3			
T	39.011675129	126.248781104	201.9			
T	39.011673141	126.248725750	203.5			
T	39.011673490	126.248670672	205.1			
T	39.011675468	126.248615655	206.6			
T	39.011675289	126.248566611	207.7			
T	39.011675017	126.248511450	208.9			
T	39.011674745	126.248456303	210.1			
T	39.011674473	126.248401169	211.3			
T	39.011674201	126.248346049	212.5			
T	39.011673930	126.248290942	212.5			
T	39.011673688	126.248241970	212.2			
T	39.011673417	126.248186888	211.8			
T	39.011673146	126.248131821	211.4			
T	39.011672874	126.248076766	211.1			
T	39.011672603	126.248021726	210.3			
T	39.011676079	126.247971913	209.3			
T	39.011680112	126.247915656	208.3			
T	39.011683082	126.247859510	207.2			
T	39.011686060	126.247803212	206.1			
T	39.011689045	126.247746763	204.9			
T	39.011692039	126.247690162	203.7			
T	39.011694707	126.247639721	202.6			
T	39.011697715	126.247582830	201.3			
T	39.011700732	126.247525785	200.1			
T	39.011703758	126.247468587	198.4			
T	39.011706791	126.247411232	196.3			
T	39.011709494	126.247360120	194.5			
T	39.011714079	126.247301652	192.4			
T	39.011720166	126.247242102	190.3			
T	39.011726176	126.247182299	188.0			
T	39.011732218	126.247122176	185.5			
T	39.011738292	126.247061731	183.0			
T	39.011743719	126.247007729	180.7			
T	39.011749857	126.246946661	178.2			
T	39.011756027	126.246885268	176.3			
T	39.011762230	126.246823541	174.5			
T	39.011768272	126.246761628	172.7			
T	39.011773569	126.246706398	171.1			
T	39.011779278	126.246644176	169.4			
T	39.011784866	126.246581780	167.8			
T	39.011790491	126.246519069	166.1			
T	39.011796143	126.246456053	164.4			
T	39.011801823	126.246392729	162.6			
T	39.011806895	126.246336181	161.3			
T	39.011812631	126.246272273	159.9			
T	39.011818392	126.246208048	158.5			
T	39.011824181	126.246143505	157.1			
T	39.011829999	126.246078644	155.5			
T	39.011835775	126.246013536	153.6			
T	39.011840676	126.245955672	151.9			
T	39.011845586	126.245890977	150.0			
T	39.011850517	126.245826013	148.1			
T	39.011855468	126.245760780	146.4			
T	39.011860450	126.245695284	144.7			
T	39.011864869	126.245636819	143.1			
T	39.011869885	126.245570796	141.4			
T	39.011874917	126.245504494	139.4			
T	39.011879970	126.245437914	137.4			
T	39.011885242	126.245370805	135.3			
T	39.011891075	126.245302691	133.2			
T	39.011895723	126.245242611	131.4			
T	39.011900241	126.245175755	129.7			
T	39.011904775	126.245108648	127.9			
T	39.011651265	126.250798978	198.1			
T	39.011652784	126.250744889	197.5			
T	39.011653510	126.250696121	196.9			
T	39.011654211	126.250641106	196.3			
T	39.011654483	126.250585648	195.7			
T	39.011654755	126.250530177	195.2			
T	39.011655027	126.250474693	194.7			
T	39.011655299	126.250419194	194.3			
T	39.011655541	126.250369849	194.0			
T	39.011655813	126.250314324	193.5			
T	39.011656085	126.250258784	193.5			
T	39.011656358	126.250203231	194.3			
T	39.011656630	126.250147664	195.1			
T	39.011656872	126.250098259	195.9			
T	39.011655273	126.250041351	196.7			
T	39.011652450	126.249983697	197.7			
T	39.011651081	126.249927133	198.8			
T	39.011650511	126.249871140	199.9			
T	39.011649942	126.249815176	200.9			
T	39.011649436	126.249765454	201.9			
T	39.011648866	126.249709546	202.6			
T	39.011648298	126.249653666	202.0			
T	39.011647729	126.249597816	201.5			
T	39.011647161	126.249541996	201.0			
T	39.011646593	126.249486204	200.4			
T	39.011646089	126.249436636	200.0			
T	39.011645428	126.249380862	199.6			
T	39.011644301	126.249324947	199.2			
T	39.011643164	126.249269085	198.8			
T	39.011641199	126.249213006	198.4			
T	39.011639452	126.249163246	198.1			
T	39.011637490	126.249107362	198.6			
T	39.011635532	126.249051580	199.2			
T	39.011633578	126.248995896	199.7			
T	39.011631627	126.248940314	200.2			
T	39.011629679	126.248884833	200.8			
T	39.011627951	126.248835600	202.2			
T	39.011626009	126.248780306	203.7			
T	39.011624072	126.248725113	205.3			
T	39.011624449	126.248670197	206.7			
T	39.011626378	126.248615338	208.1			
T	39.011628087	126.248566488	209.0			
T	39.011627822	126.248511438	210.1			
T	39.011627556	126.248456401	211.2			
T	39.011627291	126.248401378	212.3			
T	39.011627025	126.248346369	213.5			
T	39.011626760	126.248291373	213.5			
T	39.011626524	126.248242498	213.2			
T	39.011626259	126.248187526	212.8			
T	39.011625994	126.248132569	212.5			
T	39.011625729	126.248077626	212.2			
T	39.011625464	126.248022695	211.4			
T	39.011628778	126.247973005	210.4			
T	39.011633116	126.247916757	209.3			
T	39.011636779	126.247860489	208.2			
T	39.011639690	126.247804279	207.1			
T	39.011642609	126.247747916	205.9			
T	39.011645535	126.247691402	204.6			
T	39.011648144	126.247641040	203.4			
T	39.011651084	126.247584237	202.2			
T	39.011654034	126.247527282	200.9			
T	39.011656991	126.247470173	199.1			
T	39.011659957	126.247412908	197.0			
T	39.011662598	126.247361877	195.1			
T	39.011666974	126.247303554	192.9			
T	39.011673151	126.247243986	190.7			
T	39.011679052	126.247184258	188.4			
T	39.011684959	126.247124229	186.0			
T	39.011690897	126.247063878	183.5			
T	39.011696203	126.247009962	181.3			
T	39.011702203	126.246948993	178.8			
T	39.011708235	126.246887698	176.8			
T	39.011714300	126.246826070	174.9			
T	39.011720397	126.246764108	173.0			
T	39.011725844	126.246708748	171.3			
T	39.011731994	126.246646152	169.5			
T	39.011738023	126.246583347	168.0			
T	39.011743898	126.246520371	166.4			
T	39.011749803	126.246457067	164.8			
T	39.011755738	126.246393435	163.2			
T	39.011761040	126.246336595	161.8			
T	39.011766883	126.246272488	160.3			
T	39.011772531	126.246208268	158.8			
T	39.011778206	126.246143733	157.3			
T	39.011783910	126.246078879	155.7			
T	39.011789642	126.246013704	153.8			
T	39.011794603	126.245955674	152.1			
T	39.011799417	126.245890980	150.2			
T	39.011804252	126.245826016	148.3			
T	39.011809107	126.245760782	146.5			
T	39.011813982	126.245695277	144.8			
T	39.011818327	126.245636822	143.2			
T	39.011823243	126.245570798	141.4			
T	39.011828177	126.245504497	139.5			
T	39.011833133	126.245437917	137.5			
T	39.011838108	126.245371057	135.5			
T	39.011843556	126.245303326	133.5			
T	39.011848123	126.245243243	131.8			
T	39.011852550	126.245176400	130.0			
T	39.011856995	126.245109308	128.2			
T	39.011602791	126.250793360	199.6			
T	39.011604166	126.250739289	198.9			
T	39.011604872	126.250690640	198.3			
T	39.011605669	126.250635872	197.7			
T	39.011606236	126.250580843	197.0			
T	39.011606502	126.250525499	196.5			
T	39.011606767	126.250470142	196.0			
T	39.011607032	126.250414771	195.6			
T	39.011607269	126.250365540	195.2			
T	39.011607534	126.250310142	194.7			
T	39.011607799	126.250254730	194.8			
T	39.011608065	126.250199305	195.7			
T	39.011608330	126.250143867	196.5			
T	39.011608566	126.250094576	197.2			
T	39.011606808	126.250037659	198.2			
T	39.011604055	126.249980149	199.2			
T	39.011601311	126.249922787	200.5			
T	39.011600367	126.249866718	201.7			
T	39.011599813	126.249810936	202.8			
T	39.011599320	126.249761376	203.9			
